rule_id,title,type,severity,status,scope,languages,tags,impacts,remediation_cost,default_quality_profiles,language_specific_docs,metadata_path
S1117,,CODE_SMELL,Major,ready,All,java;php;swift;csharp;plsql;javascript;flex;cfamily,suspicious;pitfall,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1117/metadata.json
S1119,Labels should not be used,CODE_SMELL,Major,ready,All,java;javascript,confusing,MAINTAINABILITY:MEDIUM,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1119/metadata.json
S1121,Assignments should not be made from within sub-expressions,CODE_SMELL,Major,ready,All,java;php;csharp;javascript;cfamily,cwe;suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1121/metadata.json
S1125,Boolean literals should not be redundant,CODE_SMELL,Minor,ready,All,apex;go;vb6;java;vbnet;kotlin;php;scala;swift;csharp;plsql;javascript;flex,clumsy,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1125/metadata.json
S1126,"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",CODE_SMELL,Minor,ready,All,vb6;java;php;plsql;javascript,clumsy,MAINTAINABILITY:LOW,Constant/Issue: 2min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1126/metadata.json
S1128,Unnecessary imports should be removed,CODE_SMELL,Minor,ready,All,python;css;dart;java;kotlin;csharp;javascript,unused,MAINTAINABILITY:LOW,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1128/metadata.json
S113,Files should end with a newline,CODE_SMELL,Minor,ready,All,python;dart;java;php;swift;csharp;javascript;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S113/metadata.json
S1131,Lines should not end with trailing whitespaces,CODE_SMELL,Minor,ready,Main,python;vb6;php;swift;plsql;javascript;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1131/metadata.json
S1134,"Track uses of ""FIXME"" tags",CODE_SMELL,Major,ready,All,apex;go;python;dart;tsql;vb6;java;html;vbnet;kotlin;php;xml;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,cwe,MAINTAINABILITY:MEDIUM,Constant/Issue: 0min,Sonar way,non-compliant-example.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1134/metadata.json
S1135,"Track uses of ""TODO"" tags",CODE_SMELL,Info,ready,All,terraform;docker;apex;go;python;dart;shell;azureresourcemanager;tsql;vb6;java;html;vbnet;kotlin;php;xml;ansible;githubactions;scala;swift;csharp;plsql;javascript;kubernetes;cloudformation;cobol;ruby;cfamily,cwe,MAINTAINABILITY:INFO,Constant/Issue: 0min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1135/metadata.json
S1143,"Jump statements should not occur in ""finally"" blocks",BUG,Critical,ready,All,python;dart;java;kotlin;javascript;cfamily,cwe;error-handling,RELIABILITY:HIGH,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1143/metadata.json
S1145,"Useless ""if(true) {...}"" and ""if(false){...}"" blocks should be removed",BUG,Major,superseded,All,apex;go;python;rpg;vb6;java;vbnet;abap;kotlin;php;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,cwe,,Constant/Issue: 2min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1145/metadata.json
S1154,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1154/metadata.json
S117,Local variable and function parameter names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;python;azureresourcemanager;tsql;java;vbnet;kotlin;php;scala;swift;plsql;javascript;kubernetes;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 2min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S117/metadata.json
S1172,Unused function parameters should be removed,CODE_SMELL,Major,ready,All,apex;go;jcl;python;tsql;java;vbnet;kotlin;php;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,unused,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1172/metadata.json
S1186,Methods should not be empty,CODE_SMELL,Critical,ready,All,apex;go;jcl;python;vb6;java;vbnet;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,suspicious,MAINTAINABILITY:HIGH,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1186/metadata.json
S1192,String literals should not be duplicated,CODE_SMELL,Critical,ready,Main,apex;go;python;dart;shell;azureresourcemanager;rpg;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;ruby,design,MAINTAINABILITY:HIGH,Linear with offset,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1192/metadata.json
S1199,Nested code blocks should not be used,CODE_SMELL,Minor,ready,All,java;csharp;javascript;cfamily,bad-practice,MAINTAINABILITY:LOW,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1199/metadata.json
S121,Control structures should use curly braces,CODE_SMELL,Critical,ready,All,dart;tsql;java;kotlin;php;common;pli;csharp;javascript;cfamily,pitfall,MAINTAINABILITY:HIGH,Constant/Issue: 2min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S121/metadata.json
S1219,"""switch"" statements should not contain non-case labels",CODE_SMELL,Blocker,ready,All,java;javascript;cfamily,suspicious,MAINTAINABILITY:BLOCKER,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1219/metadata.json
S122,Statements should be on separate lines,CODE_SMELL,Major,ready,All,apex;go;python;tsql;vb6;java;vbnet;abap;kotlin;php;common;pli;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,convention,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,,compliant.adoc;noncompliant.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S122/metadata.json
S1226,"Method parameters, caught exceptions and foreach variables' initial values should not be ignored",BUG,Minor,ready,All,python;java;vbnet;php;csharp;javascript;cfamily,,RELIABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1226/metadata.json
S124,Track comments matching a regular expression,CODE_SMELL,Major,ready,Main,python;java;pli;plsql;javascript;cobol;flex,,MAINTAINABILITY:MEDIUM,Constant/Issue: 0min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S124/metadata.json
S1244,Floating point numbers should not be tested for equality,BUG,Major,ready,All,python;java;swift;csharp;javascript;cfamily,,RELIABILITY:MEDIUM,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1244/metadata.json
S125,Sections of code should not be commented out,CODE_SMELL,Major,ready,All,apex;python;css;rpg;tsql;java;html;abap;kotlin;php;xml;scala;swift;csharp;plsql;javascript;cobol;flex;cfamily,unused,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S125/metadata.json
S126,"""if ... else if"" constructs should end with ""else"" clauses",CODE_SMELL,Critical,ready,All,apex;go;shell;rpg;rust;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;ruby;cfamily,,MAINTAINABILITY:HIGH,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S126/metadata.json
S1264,"A ""while"" loop should be used instead of a ""for"" loop",CODE_SMELL,Minor,ready,All,java;php;csharp;javascript;cfamily,clumsy,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1264/metadata.json
S127,"""for"" loop stop conditions should be invariant",CODE_SMELL,Major,ready,All,java;php;csharp;javascript;flex;cfamily,pitfall,MAINTAINABILITY:MEDIUM,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S127/metadata.json
S128,"Switch cases should end with an unconditional ""break"" statement",CODE_SMELL,Blocker,ready,All,java;php;javascript;flex;cfamily,cwe;suspicious,MAINTAINABILITY:BLOCKER,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S128/metadata.json
S1291,"Track uses of ""NOSONAR"" comments",CODE_SMELL,Major,ready,All,python;tsql;java;php;plsql;javascript;cobol;cfamily,bad-practice,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1291/metadata.json
S1301,"""switch"" statements should have at least 3 ""case"" clauses",CODE_SMELL,Minor,ready,All,vb6;java;vbnet;abap;php;swift;csharp;javascript;flex;cfamily,bad-practice,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1301/metadata.json
S131,"""switch"" statements should have ""default"" clauses",CODE_SMELL,Critical,ready,All,apex;go;shell;tsql;vb6;java;vbnet;abap;kotlin;php;pli;scala;csharp;plsql;javascript;cobol;flex;ruby;cfamily,cwe,MAINTAINABILITY:HIGH,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S131/metadata.json
S1313,Using hardcoded IP addresses is security-sensitive,SECURITY_HOTSPOT,Minor,ready,Main,apex;go;python;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;ruby;cfamily,,SECURITY:LOW,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1313/metadata.json
S1314,Octal values should not be used,CODE_SMELL,Blocker,ready,All,go;java;php;javascript;flex;ruby;cfamily,pitfall,MAINTAINABILITY:BLOCKER,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1314/metadata.json
S1321,"""with"" statements should not be used",BUG,Minor,ready,Main,javascript;flex,,RELIABILITY:LOW,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1321/metadata.json
S134,"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply",CODE_SMELL,Critical,ready,All,apex;go;python;rpg;tsql;java;vbnet;abap;kotlin;php;pli;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,brain-overload,MAINTAINABILITY:HIGH,Constant/Issue: 10min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S134/metadata.json
S135,"Loops should not contain more than a single ""break"" or ""continue"" statement",CODE_SMELL,Minor,ready,All,java;abap;javascript,brain-overload,MAINTAINABILITY:LOW,Linear,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S135/metadata.json
S136,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S136/metadata.json
S138,Functions should not have too many lines of code,CODE_SMELL,Major,ready,Main,apex;go;python;shell;rpg;tsql;vb6;java;vbnet;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S138/metadata.json
S139,Comments should not be located at the end of lines of code,CODE_SMELL,Minor,ready,All,python;vb6;java;vbnet;php;swift;plsql;javascript;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S139/metadata.json
S1438,Statements should end with semicolons,CODE_SMELL,Minor,ready,Main,swift;javascript;flex,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1438/metadata.json
S1439,"Only ""while"", ""do"" and ""for"" statements should be labelled",CODE_SMELL,Major,ready,Main,javascript;flex,pitfall,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1439/metadata.json
S1440,"""==="" and ""!=="" should be used instead of ""=="" and ""!=""",CODE_SMELL,Major,ready,Main,javascript;flex,suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1440/metadata.json
S1441,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1441/metadata.json
S1442,"""alert(...)"" should not be used",VULNERABILITY,Minor,deprecated,Main,javascript;flex,,,Constant/Issue: 10min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1442/metadata.json
S1444,"""public static"" fields should be constant",CODE_SMELL,Minor,ready,Main,java;csharp;javascript;flex,cwe,MAINTAINABILITY:LOW,Constant/Issue: 20min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1444/metadata.json
S1451,Track lack of copyright and license headers,CODE_SMELL,Blocker,ready,All,apex;go;python;rpg;tsql;java;html;vbnet;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,convention,MAINTAINABILITY:BLOCKER,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1451/metadata.json
S1472,Function call arguments should not start on new lines,CODE_SMELL,Minor,ready,Main,javascript;flex,suspicious,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1472/metadata.json
S1477,Source files should not have any duplicated blocks,CODE_SMELL,Critical,closed,Main,python;rpg;vb6;java;vbnet;abap;php;pli;swift;csharp;plsql;javascript;cobol;flex;cfamily,pitfall,,Linear with offset,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1477/metadata.json
S1479,"""switch"" statements should not have too many ""case"" clauses",CODE_SMELL,Major,ready,All,apex;go;tsql;vb6;java;vbnet;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1479/metadata.json
S1481,Unused local variables should be removed,CODE_SMELL,Minor,ready,All,apex;python;dart;shell;azureresourcemanager;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,unused,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1481/metadata.json
S1482,Branches should have sufficient coverage by unit tests,CODE_SMELL,Critical,closed,Main,python;rpg;vb6;java;vbnet;abap;php;pli;swift;csharp;plsql;javascript;cobol;flex;cfamily,bad-practice,,Linear,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1482/metadata.json
S1483,Lines should have sufficient coverage by unit tests,CODE_SMELL,Critical,closed,Main,python;rpg;vb6;java;vbnet;abap;php;pli;swift;csharp;plsql;javascript;cobol;flex;cfamily,bad-practice,,Linear,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1483/metadata.json
S1484,Track instances of below-threshold comment line density,CODE_SMELL,Minor,closed,Main,python;rpg;tsql;vb6;java;html;vbnet;abap;php;xml;pli;swift;csharp;plsql;javascript;cobol;flex;cfamily,convention,,Linear,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1484/metadata.json
S1488,Local variables should not be declared and then immediately returned or thrown,CODE_SMELL,Minor,ready,All,rust;java;php;csharp;javascript,clumsy,MAINTAINABILITY:LOW,Constant/Issue: 2min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1488/metadata.json
S1514,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1514/metadata.json
S1515,Functions should not be defined inside loops,CODE_SMELL,Major,ready,Main,python;javascript,suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1515/metadata.json
S1516,Multiline string literals should not be used,CODE_SMELL,Minor,ready,Main,pli;javascript,bad-practice,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1516/metadata.json
S1517,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1517/metadata.json
S1523,Dynamically executing code is security-sensitive,SECURITY_HOTSPOT,Critical,ready,Main,python;tsql;java;vbnet;abap;php;swift;csharp;plsql;javascript,cwe,MAINTAINABILITY:LOW;SECURITY:HIGH,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1523/metadata.json
S1524,Variables should not be shadowed,CODE_SMELL,Critical,deprecated,Main,plsql;javascript,,,Constant/Issue: 10min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1524/metadata.json
S1525,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1525/metadata.json
S1526,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1526/metadata.json
S1527,Future reserved words should not be used as identifiers,CODE_SMELL,Blocker,ready,Main,java;javascript,lock-in;pitfall,MAINTAINABILITY:BLOCKER,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1527/metadata.json
S1528,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1528/metadata.json
S1529,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1529/metadata.json
S1530,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1530/metadata.json
S1531,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1531/metadata.json
S1532,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1532/metadata.json
S1533,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1533/metadata.json
S1534,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1534/metadata.json
S1535,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1535/metadata.json
S1536,Function argument names should be unique,BUG,Major,ready,Main,php;javascript,,RELIABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1536/metadata.json
S1537,Trailing commas should not be used,CODE_SMELL,Minor,ready,Main,javascript,cross-browser,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1537/metadata.json
S1539,,,,,,javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1539/metadata.json
S1541,Cyclomatic Complexity of functions should not be too high,CODE_SMELL,Critical,ready,Main,python;dart;rpg;vb6;java;vbnet;abap;php;swift;csharp;plsql;javascript;flex;cfamily,brain-overload,MAINTAINABILITY:HIGH,Linear with offset,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1541/metadata.json
S1542,Function names should comply with a naming convention,CODE_SMELL,Major,ready,Main,python;tsql;vb6;vbnet;abap;php;pli;plsql;javascript,convention,MAINTAINABILITY:MEDIUM,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1542/metadata.json
S1606,Failed unit tests should be fixed,CODE_SMELL,Blocker,closed,Tests,python;rpg;vb6;java;vbnet;abap;php;pli;swift;csharp;plsql;javascript;cobol;flex;cfamily,tests,,Linear,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1606/metadata.json
S1607,Tests should not be ignored,CODE_SMELL,Major,ready,Tests,python;java;php;csharp;javascript,tests;bad-practice;confusing,MAINTAINABILITY:MEDIUM,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1607/metadata.json
S1656,Variables should not be self-assigned,BUG,Major,ready,All,apex;go;python;shell;rpg;rust;tsql;java;vbnet;abap;kotlin;php;scala;csharp;plsql;javascript;cobol;ruby;cfamily,,RELIABILITY:MEDIUM,Constant/Issue: 3min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1656/metadata.json
S1677,Comment indentation should match code indentation,CODE_SMELL,Minor,closed,Main,python;vb6;java;html;vbnet;abap;php;xml;csharp;javascript;flex;cfamily,convention,,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1677/metadata.json
S1697,Short-circuit logic should be used to prevent null pointer dereferences in conditionals,BUG,Major,superseded,All,java;php;csharp;javascript,,,Constant/Issue: 2min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1697/metadata.json
